"id","building","floor","type","label","lat","lng","uq_maps_identifier"
"1192668","69","6","Office","611 - Open Plan-Professional/General Staff","-27.49907555239655","153.01252883938332","6e2f7da0d2f8121f77a24e5933d054a1c0c0697f972bc5564e9708869d3da9c8"
"1192669","69","6","Office","618 - Office-Academic Staff","-27.49891208669995","153.01259051273982","archibus_0100696618"
"1192670","69","6","Office","606 - Office-Professional/General Staff","-27.499059270110703","153.012653288361","f553cd8c966722e13a6e531417bad328a12ab09c13adc3614b685cf981498c51"
"1192671","69","6","Office","613 - Open Plan-Honours/Postgraduate Students","-27.498957398719877","153.01251294678914","322d608f16c6481534ea0a33ae561ffdaeffcc4d36aceb3ea9efa30f23315d34"
"1192672","69","6","Meeting Room","608 - Meeting/Board/Conference Room / Non Report","-27.499068061013347","153.01260156509153","archibus_0100696608"
"1192673","69","6","elevator","699 - Lift","-27.498850751110208","153.01244144248477","5794f518906708d69e671246ac6b43ade017e16fdc57ab74ee03e98f6d5c5f14"
"1192674","69","6","Office","621 - Open Plan-Professional/General Staff","-27.498861171028896","153.0126835673454","9e308158f86881a5e0a138f41592d89687e208035a58775e7a0d84b7af210f8f"
"1192675","69","6","room","626B - COMMS STRUC CABLING SYSTEM ROOM","-27.499017685342668","153.01261135298452","6419f5d68c18d98e549959ae07d83020e38480689dffb6256a809b81856c55f5"
"1192676","69","6","room","630 - Plant Room-Mechanical","-27.49893440901661","153.01240655719008","be6cdf95e60ff42cb5cf1aae58ecc8968f54d72e5223062ff2d099154e5d36e9"
"1192677","69","6","room","603 - Resource Room / Circulation Space / Non Report","-27.499036608914615","153.01268318720486","archibus_0100696603"
"1192678","69","6","Office","625 - Office-Academic Staff","-27.498933492456107","153.01271452855252","b400cb17985e03663626bd2836555431d5a220c200cbd78778c6d0b3360208c6"
"1192679","69","6","Office","601 - Staff Common Room / Non Report","-27.499040091845366","153.01274856504133","archibus_0100696601"
"1192687","69","6","Defibrillator","695 - Circulation Space","-27.49895793933886","153.01268828688583","31abaee33b1fe661b0cc1515a4761feedd2c7de89d4c84b9c804d921c5a37643"
"1192688","69","6","Office","623 - Office-Professional/General Staff","-27.49886294574229","153.01274870385095","archibus_0100696623"
"1192691","69","6","room","696 - Circulation Space","-27.498875515339975","153.01246620660825","68db5b0e3198f673dcf31cc58bf4374b7d7f05f89688db70ab97c30231a258dc"
"1192693","69","6","Office","614 - Office-Research Staff","-27.49894374947124","153.0124755895628","d1fe9103a92c0f77ec135efca8fe5e5c4dc17f09f80ffdac438adb60a0152551"
"1192695","69","6","Office","604 - Office-Professional/General Staff","-27.499078606505652","153.0127111482562","archibus_0100696604"
"1192697","69","6","Meeting Room","619 - Meeting/Board/Conference Room","-27.498906096330394","153.01264417996714","0fb9733a1a6d8a664ffeff590614a7d4a4f77940b7d872f649ba549aab2ea0a3"
"1192698","69","6","Office","607 - Hot Desk","-27.49900200714735","153.01267800700185","3f33f68442eb58887f1ebfd68b93efc04baf7827907a633065633cb0b18ca5a7"
"1003219184","69","6","stairs","697 - Stairs","-27.498978435271905","153.01275688154456","a812e8892d0798cae7b3cc96c517dd7a7beb7cdc809b36ca863fcdc1fbcacb45"
"1003219185","69","6","Office","615 - Office-Academic Staff","-27.498879462935648","153.01250086563587","f76f75dd9bb8d00094e5265193ac60cdec2d49ededfd7280e6a0988aef62c9b8"
"1003219186","69","6","room","693 - Circulation Space","-27.499013134625645","153.0125709476537","607ab740ec44a9f59dfb95b2d666452b0db1cb7d7f8448a3780daf6e8106ee7d"
"1192614","69","7","Office","723 - Office-Academic Staff","-27.498910692653343","153.01272525205457","f08914818bbdbcdbe67972e4e7c69b6192d0aa0af5871d7d9e441876bca8bde3"
"1192616","69","7","Office","717 - Office-Academic Staff","-27.49889813343959","153.0125635789529","101649725227f39a41ce2d5338220cbffc7306148e7672990850356796d57336"
"1192617","69","7","room","730 - Plant Room-Mechanical","-27.498934356813866","153.01240675399936","c0f472f71baadba670d16b26c912991c337ecf19ccc90281417da5ac9440cb19"
"1192618","69","7","room","719 - Resource Room","-27.49891657606328","153.01263038168335","d6929ec2c3d96955d43e46dddec9586659ebe7f42313f59a368932121380a3e8"
"1192619","69","7","Office","701 - Office-Academic Staff","-27.49908510731919","153.01274039721622","b3c8692058f47683c4e884d64509f9f03aa27cfa7829addcf1e857346513aa89"
"1192620","69","7","Office","724 - Office-Academic Staff","-27.498935462814806","153.01270901564465","e9bdb0b17de6047ebf03d2043e23dd208c99fe88e795b75033500b02f2a37609"
"1192621","69","7","Office","713 - Open Plan-Research Staff","-27.498957194747607","153.01251304497742","archibus_0100697713"
"1192622","69","7","Office","718 - Office-Academic Staff","-27.49891212211361","153.01259064813092","17281c3c80de5a74aa70ea2432438b5a5213bb7bbda766d3c2eb13e5c74b18be"
"1192623","69","7","room","795 - Circulation Space","-27.49898978609423","153.0125799138924","55d71b5d88d059f7baa02a06831bd26de6e34b032cb084716fb6a3e2ff62eab2"
"1192624","69","7","room","720 - General Common Room","-27.498866007439783","153.0126630450468","e1c9558d21812802474fe67ed3026dc424642e5ee06367d64e313e1417ff321e"
"1192625","69","7","Office","726 - Open Plan-Academic Staff","-27.49900731711054","153.01268933628464","archibus_0100697726"
"1192626","69","7","Office","708 - Office-Academic Staff","-27.499109346149393","153.0124952138485","d2c17c647f6911339dd0629b88aca96d43ac788dcf3e94cd315dda6f4ecf8494"
"1192627","69","7","Office","711 - Office-Academic Staff","-27.49902908962324","153.01253249983574","6ebad98a2461752939ef49f83dca7cb8b0f34c141d5fb040c6e40dc279fc06a3"
"1192628","69","7","Office","702 - Office-Academic Staff","-27.499077844669117","153.01270931923784","archibus_0100697702"
"1192629","69","7","Office","714 - Open Plan-Honours/Postgraduate Students","-27.49894356959196","153.01247575756304","1884cc51b7ccb6ffcd89d03691a0e6b70ee5ff6236204fbd16a81a956df6ff62"
"1192630","69","7","room","728B - ELECTRICAL RISER / DB","-27.499008796686972","153.0125926233535","3cd85a971fe58818e733887d11fa119db4f9bd87ef739475e7a7a341cc02493f"
